target_words,substitutes,query_pos,original_sentences,corrected_sentences,tagged_sentences
preset,"['predetermine', 'fixed', 'established', 'predetermined']",adjective,When he tried to venture in Cruise business there were preset notions and fixed rules like the Ship had to be always be on Sea and all the luxuries of life were to be enjoyed there.,When he tried to venture in Cruise business there were preset notions and fixed rules like the Ship had to be always be on Sea and all the luxuries of life were to be enjoyed there.,When he tried to venture in Cruise business there were **preset** notions and fixed rules like the Ship had to always be on Sea and all the luxuries of life were to be enjoyed there.
charity's,"[""organization's"", ""foundation's"", ""institution's"", ""association's""]",noun,"Second, young people should help their communities by devoting time and money to charity's activities.","Second, young people should help their communities by devoting time and money to charity's activities.","Second, young people should help their communities by devoting time and money to **charity's** activities."
travel,"['journey', 'tour', 'roam']",verb,"Also to travel in a group can provide a sense of psychological comfort, by knowing that one will never be on her or his own.","Also to travel in a group can provide a sense of psychological comfort, by knowing that one will never be on her or his own.","Also to **travel** in a group can provide a sense of psychological comfort, by knowing that one will never be on her or his own."
useful,"['beneficial', 'advantageous', 'applicable', 'helpful']",verb,"This method can be useful only for tests or oral exams, but totally useless if you want to remember that information for a long period of time.","This method can be useful only for tests or oral exams, but totally useless if you want to remember that information for a long period of time.","This method can be **useful** only for tests or oral exams, but totally useless if you want to remember that information for a long period of time."
enjoy,"['appreciate', 'cherish', 'relish']",adjective,is to enjoy thats the only way one can do,is to enjoy thats the only way one can do,"Is to **enjoy**, that's the only way one can do."
support,"['endorse', 'advocate', 'back', 'uphold']",verb,The main reason for me to support that experience and knowledge is needed in various aspects of life is to survive in this constant-changing world.,The main reason for me to support that experience and knowledge is needed in various aspects of life is to survive in this constant-changing world.,The main reason for me to **support** that experience and knowledge is needed in various aspects of life is to survive in this constant-changing world.
mature,"['adult', 'sophisticated', 'developed', 'seasoned']",adjective,"As they grow older, they are more mature","As they grow older, they are more mature","As they grow older, they are more **mature**."
very,"['extremely', 'remarkably', 'exceptionally']",adverb,"But once you have become very good in a specific topic, only then can you achieve a successful professional career.","But once you have become very good in a specific topic, only then can you achieve a successful professional career.","But once you have become **very** good in a specific topic, only then can you achieve a successful professional career."
citizens,"['residents', 'inhabitants', 'occupants']",noun,"As citizens of a community, it is our responsibility to give other members their due.","As citizens of a community, it is our responsibility to give other members their due.","As **citizens** of a community, it is our responsibility to give other members their due."
processes,"['operations', 'systems', 'routines', 'methodologies']",adjective,"Students should really understand some processes, ideas and concepts, because this is what stays in mind.","Students should really understand some processes, ideas and concepts, because this is what stays in mind.","Students should really understand some **processes**, ideas and concepts, because this is what stays in mind."
horse,"['equine', 'stallion', 'mare', 'mount']",noun,its just the same like you can take  a horse to the pool,its just the same like you can take  a horse to the pool,its just the same like you can take  a **horse** to the pool.
done,"['performed', 'executed', 'accomplished', 'conducted']",verb,"For sure, such acts are often done by young people, but that is not really recognized because it is not that public.","For sure, such acts are often done by young people, but that is not really recognized because it is not that public.","For sure, such acts are **often done** by young people, but that is not really recognized because it is not that public."
moment,"['instantly', 'immediately', 'promptly', 'shortly']",adverb,For the moment let me travel alone and follow my own plans.,For the moment let me travel alone and follow my own plans.,For the **moment** let me travel alone and follow my own plans.
bar,"['pub', 'tavern', 'lounge']",noun,"And they go to a bar with their friends after work, or go to a gymnasium during the weekends.","And they go to a bar with their friends after work, or go to a gymnasium during the weekends.","And they go to a **bar** with their friends after work, or go to a gymnasium during the weekends."
more and more,"['increasingly', 'progressively', 'steadily']",adverb,"Thanks to the advent of the information technology, more and more young people help their communities using the technology.","Thanks to the advent of the information technology, more and more young people help their communities using the technology.","Thanks to the advent of the information technology, **more and more** young people help their communities using the technology."
new,"['novel', 'current', 'fresh', 'modern']",adjective,The new age world demands specialization.,The new age world demands specialization.,The **new** age world demands specialization.
priority,"['importance', 'precedence']",adjective,It does not seem to be a priority of our society.,It does not seem to be a priority of our society.,It does not seem to be a **priority** of our society.
talented,"['gifted', 'skilled', 'proficient', 'capable']",adjective,"The reason is that in any given area, there are many very talented people trying to be the number one; through improving their related skills and also via obtaining relevant knowledge both of which require long periods of hard work.","The reason is that in any given area, there are many very talented people trying to be the number one; through improving their related skills and also via obtaining relevant knowledge both of which require long periods of hard work.","The reason is that in any given area, there are many very **talented** people trying to be the number one; through improving their related skills and also via obtaining relevant knowledge both of which require long periods of hard work."
personal,"['individual', 'private', 'exclusive', 'own']",adjective,As I mentioned before it depends on our personal behaviour.,As I mentioned before it depends on our personal behaviour.,As I mentioned before it depends on our **personal** behaviour.
doing,"['performing', 'accomplishing', 'conducting', 'carrying out']",verb,"Firstly, doing what people already know how to do well means that it lacks in originality and uniquness.","Firstly, doing what people already know how to do well means that it lacks in originality and uniquness.","Firstly, **doing** what people already know how to do well means that it lacks in originality and uniquness."
look,"['observe', 'scrutinize', 'examine', 'inspect']",verb,"If we look at the global trends in the world today, we see that it is mainly a world based on consuming more and more.","If we look at the global trends in the world today, we see that it is mainly a world based on consuming more and more.","If we **look** at the global trends in the world today, we see that it is mainly a world based on consuming more and more."
concepts,"['principles', 'notions', 'theories']",noun,The second reason I think it is more important to learn concepts rather than facts is that this way of learning lasts longer in time and it is less superficial.,The second reason I think it is more important to learn concepts rather than facts is that this way of learning lasts longer in time and it is less superficial.,The second reason I think it is more important to learn **concepts** rather than facts is that this way of learning lasts longer in time and it is less superficial.
stress,"['strain', 'anxiety', 'pressure']",adjective,"There, i saw animals that were actually under a lot of stress and animals that have been abused in the past.","There, i saw animals that were actually under a lot of stress and animals that have been abused in the past.","There, I saw animals that were actually under a lot of **stress** and animals that have been abused in the past."
many,"['numerous', 'various', 'plentiful', 'abundant']",adverb,It's convenience to visite the city and travel around from garden to garden on the tour bus and the guide will give many details on the history of the gardens.,It's convenience to visite the city and travel around from garden to garden on the tour bus and the guide will give many details on the history of the gardens.,It's convenience to visite the city and travel around from garden to garden on the tour bus and the guide will give many **details** on the history of the gardens.
advertisements,"['commercials', 'promotions', 'announcements']",noun,"It is really interesting to find out that, in nowadays, more and more advertisements become appeared on televison, newspaper, internet and many distinctive kinds of medias.","It is really interesting to find out that, in nowadays, more and more advertisements become appeared on televison, newspaper, internet and many distinctive kinds of medias.","It is really interesting to find out that, in nowadays, more and more **advertisements** become appeared on televison, newspaper, internet and many distinctive kinds of medias."
new,"['innovative', 'latest', 'modern', 'advanced.']",adjective,"Already today, solar energy is used in car technology and presumeably it is only a question of time when these new generation of vehicales is available on the market.","Already today, solar energy is used in car technology and presumeably it is only a question of time when these new generation of vehicales is available on the market.","Already today, solar energy is used in car technology and presumeably it is only a question of time when these **new** generation of vehicales is available on the market."
become,"['grow', 'turn']",verb,The body gets weaker when you become older and often causes horrible pains.,The body gets weaker when you become older and often causes horrible pains.,The body gets weaker when you **become** older and often causes horrible pains.
value,"['cherish', 'appreciate', 'regard']",verb,"Given that the natural environment is a resource that people all value and desire to protect, makes it clear that cars will be less used when people have seen or will see the dramatic and harmful effect cars have on the Earth's atmosphere and to overall human health.","Given that the natural environment is a resource that people all value and desire to protect, makes it clear that cars will be less used when people have seen or will see the dramatic and harmful effect cars have on the Earth's atmosphere and to overall human health.","Given that the natural environment is a resource that people all **value** and desire to protect, makes it clear that cars will be less used when people have seen or will see the dramatic and harmful effect cars have on the Earth's atmosphere and to overall human health."
responsible,"['accountable', 'liable', 'in charge of', 'tasked with']",verb,"On the contrary, if you travel alone or in a small group without a travel guide, you are responsible for managing all aspects of the trip.","On the contrary, if you travel alone or in a small group without a travel guide, you are responsible for managing all aspects of the trip.","On the contrary, if you travel alone or in a small group without a travel guide, you are **responsible** for managing all aspects of the trip."
product,"['item', 'merchandise', 'goods']",noun,""" Companies try to make the people buy their product to gain more and  more money.",""" Companies try to make the people buy their product to gain more and  more money.","""Companies try to make the people buy their **product** to gain more and more money."""
highly,"['extremely', 'strongly', 'notably', 'greatly']",adverb,An ink spot or tomato sauce stain on your favorite yellow summer dress resists despite your desperate attempts of removing it with the highly suggested product.,An ink spot or tomato sauce stain on your favorite yellow summer dress resists despite your desperate attempts of removing it with the highly suggested product.,An ink spot or tomato sauce stain on your favorite yellow summer dress resists despite your desperate attempts of removing it with the **highly** suggested product.
However,"['Nonetheless', 'Nevertheless', 'Yet', 'Still']",adverb,However the real life is not that smooth.,However the real life is not that smooth.,**However** the real life is not that smooth.
to know,"['to comprehend', 'to understand', 'to grasp', 'to appreciate']",verb,"Since a specialist is able to know more profoundly on a topic and has more time to be more up-to-date about an issue, he or she will be more help in solving the problem.","Since a specialist is able to know more profoundly on a topic and has more time to be more up-to-date about an issue, he or she will be more help in solving the problem.","Since a specialist is able **to know** more profoundly on a topic and has more time to be more up-to-date about an issue, he or she will be more help in solving the problem."
provide,"['offer', 'present', 'deliver']",verb,It is true that every day there are more low-cost airlines that provide very cheap flights.,It is true that every day there are more low-cost airlines that provide very cheap flights.,It is true that every day there are more low-cost airlines that **provide** very cheap flights.
subscribe,"['adhere', 'conform', 'acknowledge']",verb,I do not subscribe to the statement that it is more important for students to understand ideas and concepts.,I do not subscribe to the statement that it is more important for students to understand ideas and concepts.,I do not **subscribe** to the statement that it is more important for students to understand ideas and concepts.
understanding,"['comprehension', 'perception', 'grasp']",noun,"Therefore, understanding is much easier than memorizing.","Therefore, understanding is much easier than memorizing.","Therefore, **understanding** is much easier than memorizing."
values,"['principles', 'norms', 'standards', 'virtues', 'morals']",noun,"(but I'm pretty convinced it is a problem felt in other countryes)should give values to its students,just the sense of how many things we don't know and open the door to infinite worlds students should explore by theyrselves depending on theyr interests.","(but I'm pretty convinced it is a problem felt in other countryes)should give values to its students,just the sense of how many things we don't know and open the door to infinite worlds students should explore by theyrselves depending on theyr interests.","(but I'm pretty convinced it is a problem felt in other countryes)should give **values** to its students,just the sense of how many things we don't know and open the door to infinite worlds students should explore by theyrselves depending on theyr interests."
life,"['existence', 'living', 'survival', 'reality']",noun,"Being old can mean that you can finally really enjoy your life after  you found out who you are, found your place in the world,  and made your way.","Being old can mean that you can finally really enjoy your life after  you found out who you are, found your place in the world,  and made your way.","Being old can mean that you can finally really enjoy your **life** after you found out who you are, found your place in the world, and made your way."
survived,"['endured', 'weathered', 'lived through']",verb,My grandmother survived World War II.,My grandmother survived World War II.,My grandmother **survived** World War II.
acheiving,"['attaining', 'accomplishing', 'reaching', 'securing']",verb,"Young people, the new generation will enjoy life setting their goals and acheiving them.","Young people, the new generation will enjoy life setting their goals and acheiving them.","Young people, the new generation will enjoy life setting their goals and **acheiving** them."
soon,"['early', 'promptly', 'swiftly', 'rapidly', 'shortly']",adjective,I think that as soon as possible people must learn that the community service is a civil duty.,I think that as soon as possible people must learn that the community service is a civil duty.,I think that as **soon** as possible people must learn that the community service is a civil duty.
adverse,"['opposed', 'averse', 'resistant', 'reluctant']",adjective,Young people are adverse to becoming a part of the social community gatherings and therefore are not exposed to the problems being faced by them.,Young people are adverse to becoming a part of the social community gatherings and therefore are not exposed to the problems being faced by them.,Young people are **adverse** to becoming a part of the social community gatherings and therefore are not exposed to the problems being faced by them.
independent,"['separate', 'autonomous', 'solo', 'distinct']",adverb,"One, in which the residential and business localities are under one roof and the other in which they will be independent.","One, in which the residential and business localities are under one roof and the other in which they will be independent.","One, in which the residential and business localities are under one roof and the other in which they will be **independent**."
full,"['complete', 'thorough', 'comprehensive', 'extensive']",adjective,otherwise we might have students with full of informations who can not use them.,otherwise we might have students with full of informations who can not use them.,otherwise we might have students with **full** of informations who can not use them.
technologies,"['innovations', 'advancements', 'developments', 'breakthroughs']",noun,"First, new health technologies allow people to live better and later than before.","First, new health technologies allow people to live better and later than before.","First, new health **technologies** allow people to live better and later than before."
traffic jams,"['congestion', 'gridlock', 'bottleneck', 'traffic']",noun,so people don't have to worry about the traffic jams involved.,so people don't have to worry about the traffic jams involved.,So people don't have to worry about the **traffic jams** involved.
place,"['location', 'spot', 'site', 'setting']",noun,You are not only enjoinyg a new place but also you are sharing your experience and your joy with others too.,You are not only enjoinyg a new place but also you are sharing your experience and your joy with others too.,You are not only enjoying a new **place** but also you are sharing your experience and your joy with others too.
too,"['extremely', 'exceedingly', 'overly', 'undeniably']",adverb,The demand for cars around the world is too high nowadays to predict that there will be fewer ones in the future.,The demand for cars around the world is too high nowadays to predict that there will be fewer ones in the future.,The demand for cars around the world is **too** high nowadays to predict that there will be fewer ones in the future.
learn,"['acquire', 'grasp', 'comprehend', 'absorb']",verb,For example they can learn something in courses especially offered for older ones or they can read amazing books or looking good films.,For example they can learn something in courses especially offered for older ones or they can read amazing books or looking good films.,For example they can **learn** something in courses especially offered for older ones or they can read amazing books or looking good films.
read,"['peruse', 'study', 'review', 'comprehend']",verb,"Since I was a child I used to read any kind of book, to watch any type of program and to observe everything that could strike my attention so I would really love having at my disposal a broad experience and knowledge in order to say my opinion in each context.","Since I was a child I used to read any kind of book, to watch any type of program and to observe everything that could strike my attention so I would really love having at my disposal a broad experience and knowledge in order to say my opinion in each context.","Since I was a child I used to **read** any kind of book, to watch any type of program and to observe everything that could strike my attention so I would really love having at my disposal a broad experience and knowledge in order to say my opinion in each context."
often,"['regularly', 'frequently', 'typically', 'usually']",adverb,"Another point industries often make in advertisments, is the cheap prize, yellow shoes from Humanic for example, are so much cheaper than  the ones from Clarks.","Another point industries often make in advertisments, is the cheap prize, yellow shoes from Humanic for example, are so much cheaper than  the ones from Clarks.","Another point industries often **make** in advertisments, is the cheap prize, yellow shoes from Humanic for example, are so much cheaper than  the ones from Clarks."
special,"['unique', 'specific', 'distinctive', 'individual']",adjective,"So after inventing and producing very special elements, there have to be people who do not  neccesarily understand every detail of this element, but who know how to put them together to one big and working system.","So after inventing and producing very special elements, there have to be people who do not  neccesarily understand every detail of this element, but who know how to put them together to one big and working system.","So after inventing and producing very **special** elements, there have to be people who do not necessarily understand every detail of this element, but who know how to put them together to one big and working system."
try,"['endeavor', 'attempt', 'undertake', 'strive', 'experiment']",verb,People who try new things or take risks are more willing to explore their boundaries.,People who try new things or take risks are more willing to explore their boundaries.,People who **try** new things or take risks are more willing to explore their boundaries.
responsibilities,"['obligations', 'duties', 'tasks', 'roles']",noun,"To add to that, they don't have as many responsibilities as young people do, so they need not worry about  many things.","To add to that, they don't have as many responsibilities as young people do, so they need not worry about  many things.","To add to that, they don't have as many **responsibilities** as young people do, so they need not worry about many things."
manifold,"['substantial', 'significant', 'profound', 'considerable']",adjective,The automative industry has witnessed a manifold increase since man has invented the wheel.,The automative industry has witnessed a manifold increase since man has invented the wheel.,The automative industry has witnessed a **manifold** increase since man has invented the wheel.
any,"['whatsoever', 'at all', 'absolutely']",adverb,"Learning facts in a scientific field, like for example the resulting speed of an object, does not give any clue about the result of an experiment in another context.","Learning facts in a scientific field, like for example the resulting speed of an object, does not give any clue about the result of an experiment in another context.","Learning facts in a scientific field, like for example the resulting speed of an object, does not give **any** clue about the result of an experiment in another context."
enjoy,"['appreciate', 'relish', 'cherish', 'savor']",verb,"As far as I am concerned, I think young people enjoy life more than seniors do.","As far as I am concerned, I think young people enjoy life more than seniors do.","As far as I am concerned, I think young people **enjoy** life more than seniors do."
young,"['juvenile', 'adolescent', 'youthful']",adjective,Looking at it from this angle makes it seem like young people have the better life.,Looking at it from this angle makes it seem like young people have the better life.,Looking at it from this angle makes it seem like **young** people have the better life.
made,"['caused', 'induced', 'triggered']",verb,The green house effect has made the climate warmer and warmer.,The green house effect has made the climate warmer and warmer.,The green house effect has **made** the climate warmer and warmer.
healthy,"['wholesome', 'robust', 'beneficial', 'nutritious']",adverb,But the advertisement doesn't mention how many fat is in there because this of course wouldn't turn out to be a very healthy figure.,But the advertisement doesn't mention how many fat is in there because this of course wouldn't turn out to be a very healthy figure.,But the advertisement doesn't mention how many fat is in there because this of course wouldn't turn out to be a very **healthy** figure.
statement,"['declaration', 'assertion', 'pronouncement']",noun,They support this statement by arguing that older people do not go out just for fun.,They support this statement by arguing that older people do not go out just for fun.,They support this **statement** by arguing that older people do not go out just for fun.
lead,"['result', 'contribute', 'cause', 'trigger']",verb,"This will probably lead to cheaper petrol prices, so the cost factor is also no immediate reason to use fewer cars.","This will probably lead to cheaper petrol prices, so the cost factor is also no immediate reason to use fewer cars.","This will probably **lead** to cheaper petrol prices, so the cost factor is also no immediate reason to use fewer cars."
solve,"['resolve', 'tackle', 'address', 'overcome']",verb,A student who only learns the basic equations about electricity can not  solve problems that involve combining various concepts or ideas.,A student who only learns the basic equations about electricity can not  solve problems that involve combining various concepts or ideas.,A student who only learns the basic equations about electricity can not **solve** problems that involve combining various concepts or ideas.
english,"['language', 'dialect']",noun,"Now I know how to speak english, I made new friends...","Now I know how to speak english, I made new friends...","Now I know how to speak **english**, I made new friends..."
non-conventional,"['unconventional', 'alternative', 'non-traditional']",adjective,"Automobile manufacturing companies like GM, Toyota etc. are looking forward to welcome these new non-conventional fuels and their research and development groups are persistently working on prototypes which are small boxes that can easily be replaced in existing cars.","Automobile manufacturing companies like GM, Toyota etc. are looking forward to welcome these new non-conventional fuels and their research and development groups are persistently working on prototypes which are small boxes that can easily be replaced in existing cars.","Automobile manufacturing companies like GM, Toyota etc. are looking forward to welcome these new **non-conventional** fuels and their research and development groups are persistently working on prototypes which are small boxes that can easily be replaced in existing cars."
First,"['Initially', 'Primarily', 'Predominantly']",adverb,"First of all, according to what i have learned in school, oil is not a renewable energy source, but there is definately enough of it to meet global demands for at least the next fourty years, if not more.","First of all, according to what i have learned in school, oil is not a renewable energy source, but there is definately enough of it to meet global demands for at least the next fourty years, if not more.","**First** of all, according to what I have learned in school, oil is not a renewable energy source, but there is definitely enough of it to meet global demands for at least the next forty years, if not more."
altruistic,"['unselfish', 'selfless', 'charitable', 'generous']",adjective,"The idea that young people nowadays do not devote enough time, and thus have become less altrustic towards their communities than before, is a common mistake.","The idea that young people nowadays do not devote enough time, and thus have become less altrustic towards their communities than before, is a common mistake.","The idea that young people nowadays do not devote enough time, and thus have become less **altruistic** towards their communities than before, is a common mistake."
experienced,"['encountered', 'undergone', 'endured', 'lived.']",adverb,"From my experience, it could be said, I'm having more better life in my 30's than I experienced in my 20's.","From my experience, it could be said, I'm having more better life in my 30's than I experienced in my 20's.","From my experience, it could be said, I'm having more better life in my 30's than I **experienced** in my 20's."
guide,"['conductor', 'escort', 'leader']",noun,The fact that we have to hire a guide will increase the cost of the trip.,The fact that we have to hire a guide will increase the cost of the trip.,The fact that we have to hire a **guide** will increase the cost of the trip.
save,"['preserve', 'conserve', 'protect']",adverb,So by doing so we save a lot of time.,So by doing so we save a lot of time.,So by doing so we **save** a lot of time.
Med-school,"['Medical School', 'Healthcare School']",noun,Let us take an example of Med-school students.,Let us take an example of Med-school students.,Let us take an example of **Med-school** students.
buying,"['acquiring', 'purchasing', 'obtaining', 'procuring']",adjective,"With increasing population and buying power, the demand for the number of cars would rise.","With increasing population and buying power, the demand for the number of cars would rise.","With increasing population and **buying** power, the demand for the number of cars would rise."
taught,"['instructed', 'educated', 'guided', 'trained']",verb,"Another thing i would really do, if i had the chance to change something in how our young students should be tought, that i would build a whole city of learning, and i would make it unique in its given courses, it would be built based on the concepts of loylaty, love, team work and encouraging individual talents, moreover, no normal test would be giving, because they would be tought that the concept of examination is not always the right concept, also they would have weekly debates about larger concepts like enthusiasm, ethics, aesthetics and racism to have these young generations prepared to involve in real life life.","Another thing i would really do, if i had the chance to change something in how our young students should be tought, that i would build a whole city of learning, and i would make it unique in its given courses, it would be built based on the concepts of loylaty, love, team work and encouraging individual talents, moreover, no normal test would be giving, because they would be tought that the concept of examination is not always the right concept, also they would have weekly debates about larger concepts like enthusiasm, ethics, aesthetics and racism to have these young generations prepared to involve in real life life.","Another thing I would really do, if I had the chance to change something in how our young students should be **taught**, that I would build a whole city of learning, and I would make it unique in its given courses, it would be built based on the concepts of loyalty, love, team work and encouraging individual talents, moreover, no normal test would be given, because they would be taught that the concept of examination is not always the right concept, also they would have weekly debates about larger concepts like enthusiasm, ethics, aesthetics and racism to have these young generations prepared to involve in real life life."
night club,"['disco', 'nightclub', 'social club.']",noun,"For example, a young man of age 18 will go to night club more often than a man who is 23, the reason is because that the man knows there is just a place for rest and maye he needs to work on the next day.","For example, a young man of age 18 will go to night club more often than a man who is 23, the reason is because that the man knows there is just a place for rest and maye he needs to work on the next day.","For example, a young man of age 18 will go to **night club** more often than a man who is 23, the reason is because that the man knows there is just a place for rest and maye he needs to work on the next day."
total,"['sum', 'sum total', 'balance', 'gross']",NOUN,"Kim:
				I have completed the invoices for April, May and June and we owe
					Pasadena each month for a total of $3,615,910.62. I am waiting to hear
					back from Patti on May and June to make sure they are okay with her.","Kim:
				I have completed the invoices for April, May and June and we owe
					Pasadena each month for a total of $3,615,910.62. I am waiting to hear
					back from Patti on May and June to make sure they are okay with her.","Kim:
				I have completed the invoices for April, May and June and we owe
					Pasadena each month for a **total** of $3,615,910.62. I am waiting to hear
					back from Patti on May and June to make sure they are okay with her."
think,"['have in mind', 'suppose', 'presume', 'reckon']",VERB,"Nepthys turned to me. “Well, kid, what do you think? Remember, this is your quest.","Nepthys turned to me. “Well, kid, what do you think? Remember, this is your quest.","Nepthys turned to me. “Well, kid, what do you **think**? Remember, this is your quest."
okay,"['ok', 'fine', 'alright', 'all right']",ADJ,"He turned to me. Nepthys nodded: “It’s okay, you can trust him. That’s why we came here.”","He turned to me. Nepthys nodded: “It’s okay, you can trust him. That’s why we came here.”","He turned to me. Nepthys nodded: “It’s **okay**, you can trust him. That’s why we came here.”"
checking,"['investigate', 'try']",VERB,"“Listen, man, he’s not there! I’m telling you, it’s not even worth checking the bar!” I turned to keep going, but he caught my arm again.","“Listen, man, he’s not there! I’m telling you, it’s not even worth checking the bar!” I turned to keep going, but he caught my arm again.","“Listen, man, he’s not there! I’m telling you, it’s not even worth **checking** the bar!” I turned to keep going, but he caught my arm again."
call,"['summon', 'order', 'sic', 'rally', 'send']",VERB,"…I thought as much. Now leave, before I call the rats on you.”
            We left.","…I thought as much. Now leave, before I call the rats on you.”
            We left.","…I thought as much. Now leave, before I **call** the rats on you.”
            We left."
drove,"['force', 'push', 'ram', 'press', 'plunge']",VERB,"I stepped up behind him and raised my hands, which almost seemed to be glowing. Then the stake came down into his back and one, two, three strikes with the hammer drove it in. The vampire fell forward and blood began to flow from his mouth.","I stepped up behind him and raised my hands, which almost seemed to be glowing. Then the stake came down into his back and one, two, three strikes with the hammer drove it in. The vampire fell forward and blood began to flow from his mouth.","I stepped up behind him and raised my hands, which almost seemed to be glowing. Then the stake came down into his back and one, two, three strikes with the hammer **drove** it in. The vampire fell forward and blood began to flow from his mouth."
swear,"['swear to god', 'guarantee', 'give ones word', 'cross ones heart', 'swear up and down', 'vow', 'declare under oath']",VERB,"""I was
stopped in San Francisco one time by a Japanese tour bus. I swear.
They all thought I was Steve Martin.","""I was
stopped in San Francisco one time by a Japanese tour bus. I swear.
They all thought I was Steve Martin.","""I was
stopped in San Francisco one time by a Japanese tour bus. I **swear**.
They all thought I was Steve Martin."
asked,"['request', 'inquire']",VERB,"Come on, let’s go.”
            As we left the bar, I asked to see the rock. “Why?”","Come on, let’s go.”
            As we left the bar, I asked to see the rock. “Why?”","Come on, let’s go.”
            As we left the bar, I **asked** to see the rock. “Why?”"
case,"['example case', 'scenario']",NOUN,"Under Mr. Gorbachev, Mr. Goode said, the Soviets are openly
				stealing Western corporate communications. He cited the case of a Swiss
				oil trader who recently put out bids via telex for an oil tanker to pick
				up a cargo of crude in the Middle East. Among the responses the Swiss
				trader got was one from the Soviet national shipping company, which
				hadn't been invited to submit a bid.","Under Mr. Gorbachev, Mr. Goode said, the Soviets are openly
				stealing Western corporate communications. He cited the case of a Swiss
				oil trader who recently put out bids via telex for an oil tanker to pick
				up a cargo of crude in the Middle East. Among the responses the Swiss
				trader got was one from the Soviet national shipping company, which
				hadn't been invited to submit a bid.","Under Mr. Gorbachev, Mr. Goode said, the Soviets are openly
				stealing Western corporate communications. He cited the **case** of a Swiss
				oil trader who recently put out bids via telex for an oil tanker to pick
				up a cargo of crude in the Middle East. Among the responses the Swiss
				trader got was one from the Soviet national shipping company, which
				hadn't been invited to submit a bid."
open,"['unshut', 'uncovered']",ADJ,"Two points of fire opened in my throat for an instant, then all went numb. Taste, hearing and touch became a single blur, and I do not know if my eyes were open. My mind began to dissipate, but then I felt the pain withdraw and a lifeless voice said, “This one’s blood isn’t worth drinking.”","Two points of fire opened in my throat for an instant, then all went numb. Taste, hearing and touch became a single blur, and I do not know if my eyes were open. My mind began to dissipate, but then I felt the pain withdraw and a lifeless voice said, “This one’s blood isn’t worth drinking.”","Two points of fire **open**ed in my throat for an instant, then all went numb. Taste, hearing and touch became a single blur, and I do not know if my eyes were open. My mind began to dissipate, but then I felt the pain withdraw and a lifeless voice said, “This one’s blood isn’t worth drinking.”"
jealous,"['envious', 'envying']",ADJ,"Karnes had his own Jeep, and went
to the beach and to evening movies shown by other units as often as
he could. But at the movies, he had to remove the distributor cap
on his Jeep so the vehicle wouldn't be stolen, perhaps by jealous
airmen who resented the 509th.


   Not until the day before Tibbets and his crew flew to Hiroshima
was the 509th told what was happening.","Karnes had his own Jeep, and went
to the beach and to evening movies shown by other units as often as
he could. But at the movies, he had to remove the distributor cap
on his Jeep so the vehicle wouldn't be stolen, perhaps by jealous
airmen who resented the 509th.


   Not until the day before Tibbets and his crew flew to Hiroshima
was the 509th told what was happening.","Karnes had his own Jeep, and went
to the beach and to evening movies shown by other units as often as
he could. But at the movies, he had to remove the distributor cap
on his Jeep so the vehicle wouldn't be stolen, perhaps by **jealous**
airmen who resented the 509th.


   Not until the day before Tibbets and his crew flew to Hiroshima
was the 509th told what was happening."
lead,"['guide', 'show the way', 'escort', 'usher', 'direct']",VERB,"A twitch of her fingers summoned her pale servants. “One of these will lead you out.”
            I stood, and one of her servants took me and Amy to the door.","A twitch of her fingers summoned her pale servants. “One of these will lead you out.”
            I stood, and one of her servants took me and Amy to the door.","A twitch of her fingers summoned her pale servants. “One of these will **lead** you out.”
            I stood, and one of her servants took me and Amy to the door."
chances,"['odds', 'probability', 'luck', 'possibility', 'opportunity']",NOUN,"I thought that my odds were better on the dance floor.
            Holding Amy in my arms as we ducked between the crush of dancers, I started to wonder if the chances of finding this vampire were even good enough to merit this. I wasn’t sure that I could survive the crush of the crowd.","I thought that my odds were better on the dance floor.
            Holding Amy in my arms as we ducked between the crush of dancers, I started to wonder if the chances of finding this vampire were even good enough to merit this. I wasn’t sure that I could survive the crush of the crowd.","I thought that my odds were better on the dance floor.
            Holding Amy in my arms as we ducked between the crush of dancers, I started to wonder if the **chances** of finding this vampire were even good enough to merit this. I wasn’t sure that I could survive the crush of the crowd."
kind,['considerate'],NOUN,"“May I invite you to have a cup of tea?”
            “No, thank you,” said Nepthys, “we regret that we cannot take up your kind offer. Are you the proprietor of this shop?”
            “Yes,” answered the woman.","“May I invite you to have a cup of tea?”
            “No, thank you,” said Nepthys, “we regret that we cannot take up your kind offer. Are you the proprietor of this shop?”
            “Yes,” answered the woman.","“May I invite you to have a cup of tea?”
            “No, thank you,” said Nepthys, “we regret that we cannot take up your **kind** offer. Are you the proprietor of this shop?”
            “Yes,” answered the woman."
minute,"['min', 'moment']",NOUN,He downed the second shot. “I am glad to be out of the favor-trading scene for half a minute. It’s exhausting to talk to those people.,He downed the second shot. “I am glad to be out of the favor-trading scene for half a minute. It’s exhausting to talk to those people.,He downed the second shot. “I am glad to be out of the favor-trading scene for half a **minute**. It’s exhausting to talk to those people.
