target_words,substitutes,query_pos,original_sentences,corrected_sentences,tagged_sentences,proficiency_levels
making,"['exerting', 'dedicating', 'devoting']",verb,"Many car makers are making their effot to produce the car which need not so much energy, thoug, such car are high cost.","Many car makers are making their efforts to produce cars which need not so much energy, though, such cars are high cost. ","Many car makers are **making** their efforts to produce cars which need not so much energy, though, such cars are high cost.",medium
complete,"['full', 'comprehensive', 'entire', 'detailed']",adjective,So in this way advertisements will not convey the complete information about the product to the society.,So in this way advertisements will not convey the complete information about the product tosociety. ,So in this way advertisements will not convey the **complete** information about the product to society.,medium
young,"['juvenile', 'adolescent', 'youthful', 'minor']",noun,the young people are restricted in taking care and heliping their own family .The,the young people are restricted in taking care of and helping their own family . The,The **young** people are restricted in taking care of and helping their own family.,medium
statement,"['declaration', 'assertion', 'claim']",noun,"I thing the statement ''Young people nowadays do not give enough time to helping thier communities"" is wrong and right.","I think the statement ''Young people nowadays do not give enough time to helping their communities"" is wrong and right. ","I think the **statement** ''Young people nowadays do not give enough time to helping their communities"" is wrong and right.",medium
new,"['innovative', 'unconventional', 'novel', 'fresh', 'modern']",noun,So it is always better to try things in new ways and take risks to become successful person rather than doing on the existing.,So it is always better to try things in new ways and take risks to become a successful person rather than doing things the old way. ,So it is always better to try things in **new** ways and take risks to become a successful person rather than doing things the old way.,medium
much,"['often', 'frequently', 'regularly', 'typically']",adverb,So they do not think about as much as unsuccessful people.,So they do not think about it as much as unsuccessful people. ,So they do not think about it as **much** as unsuccessful people.,medium
idea,"['thought', 'notion', 'concept']",verb,"For instance, thousands of years ago, the idea about earth is that it has a shape of square","For instance, thousands of years ago, the idea of the earth was that it had a shape of a square","For instance, thousands of years ago, the **idea** of the earth was that it had a shape of a square.",medium
principle,"['concept', 'theory', 'idea', 'rule']",noun,"But rather than facts, teacher might explain using principle of that chord throughout the playing the piano.","But rather than facts, the teacher might explain using the principle of that chord throughout the playing of the piano. ","But rather than facts, the teacher might explain using the **principle** of that chord throughout the playing of the piano.",medium
big,"['large', 'massive', 'enormous', 'gigantic']",adjective,"The apartments are getting so big, and they will not remember who are the neighborshoods.","The apartments are getting so big, and they will not remember who the neighbors  are. ","The apartments are getting so **big**, and they will not remember who the neighbors are.",medium
do,"['perform', 'execute', 'conduct', 'accomplish']",verb,And I think that we can do such a thing durling the play outside.,And I think that we can do such a thing during the play outside. ,And I think that we can **do** such a thing during the play outside.,medium
transformation,"['metamorphosis', 'modification', 'shift', 'transition']",verb,Since the start of nineteen century we have been see a general and strategic transformation in the world of transportation.,Since the start of the nineteenth century we have seen a general and strategic transformation in the world of transportation. ,Since the start of the nineteenth century we have seen a general and strategic **transformation** in the world of transportation.,medium
do n't,"[""won't"", 'cannot', ""wouldn't"", ""shouldn't""]",adverb,"However i keep telling myself that ""if you won't try, you will never knew how to ride a bicycle.","However i keep telling myself that ""if you do n't try, you will never know how to ride a bicycle. ","However i keep telling myself that ""if you **do n't** try, you will never know how to ride a bicycle.",medium
spare time,"['free time', 'leisure', 'downtime.']",noun,"however, my grandmother have a lot of spare time and less working pressures, so she can play a lot of funny staff with her friends.","however, my grandmother has a lot of spare time and less working pressures, so she can play a lot of fun with her friends. ","however, my grandmother has a lot of **spare time** and less working pressures, so she can play a lot of fun with her friends.",medium
recognise,"['acknowledge', 'appreciate', 'perceive', 'identify']",verb,"Since I recognise mixed educational policy, both factors are key to obtain better concepts, and at least I can say is both factors were needed and just one of those would not bring the significant result.","Since I recognise mixed educational policy, both factors are key to obtaining better concepts, and at least I can say both factors were needed and just one of those would not bring a significant result. ","Since I **recognise** mixed educational policy, both factors are key to obtaining better concepts, and at least I can say both factors were needed and just one of those would not bring a significant result.",medium
tend,"['incline', 'lean', 'sway', 'gravitate']",verb,Usually teachers tend to show the answer to students when students do not know the answer because they may think that it is better for student to understand or is easy to teach for teachers.,Usually teachers tend to show the answer to students when students do not know the answer because they may think that it is better for students to understand or it is easy to teach for teachers. ,Usually teachers **tend** to show the answer to students when students do not know the answer because they may think that it is better for students to understand or it is easy to teach for teachers.,medium
conducting,"['administering', 'coordinating', 'managing', 'overseeing', 'running']",verb,Singers like Michael Jakson is known for conducting such charitable shows.,Singers like Michael Jackson are known for conducting such charitable shows. ,Singers like Michael Jackson are known for **conducting** such charitable shows.,medium
buy,"['purchase', 'acquire', 'obtain']",verb,The things that were used to be very expesive so we could not buy well  are getting cheaper and cheaper.,The things that used to be very expensive so we could not buy well are getting cheaper and cheaper. ,The things that used to be very expensive so we could not **buy** well are getting cheaper and cheaper.,medium
think,"['contemplate', 'ponder', 'consider', 'reflect']",verb,Most of the young people think only about materials things like cloths,Most young people think only about material things like clothes,Most young people **think** only about material things like clothes.,medium
formula,"['equation', 'calculation', 'rule']",noun,In the result of the examination I failed because I couldn't remember the necassary formula.,As a result of the examination I failed because I couldn't remember the necessary formula. ,As a result of the examination I failed because I couldn't remember the **necessary** formula.,medium
enjoyable,"['pleasant', 'delightful', 'entertaining', 'fascinating']",adjective,"Its very enjoyable having a person who can answr to all of the doubts or questions that that you have about certain places, things, culture or history of the city or country that is being visited.","Its very enjoyable having a person who can answer all of the doubts or questions that you have about certain places, things, culture or history of the city or country that is being visited. ","Its very **enjoyable** having a person who can answer all of the doubts or questions that you have about certain places, things, culture or history of the city or country that is being visited.",medium
professor,"['educator', 'lecturer', 'scholar', 'instructor']",noun,"By this way, he may become a admirable professor and influence people, or he may become a special man that is wanted by most of the companies.","In this way, he may become an admirable professor and influence people, or he may become a special man that is wanted by most companies. ","In this way, he may become an admirable **professor** and influence people, or he may become a special man that is wanted by most companies.",medium
aware,"['conscious', 'cognizant', 'mindful']",adverb,If students are not aware with this fact how can they understand the concepts of transforming the state of water and methods used to transform.,If students are not aware of this fact how can they understand the concepts of transforming the state of water and methods used to transform it. ,If students are not **aware** of this fact how can they understand the concepts of transforming the state of water and methods used to transform it.,medium
fun,"['entertaining', 'amusing', 'enjoyable', 'delightful']",adjective,"We would able to know that for the fun, which movies or which album are created and by whom.","We would be able to know that for fun, which movies or which album are created and by whom. ","We would be able to know that for **fun**, which movies or which album are created and by whom.",medium
dance,"['ritual', 'custom', 'tradition', 'culture']",noun,"My friends engaged in the protecting the traditional dance and ceremony even though they were not born in the city, and they build the good relationship with local people.","My friends engaged in protecting the traditional dance and ceremony even though they were not born in the city, and they build good relationships with local people. ","My friends engaged in protecting the traditional **dance** and ceremony even though they were not born in the city, and they build good relationships with local people.",medium
statement,"['declaration', 'assertion', 'proclamation', 'announcement']",noun,"I thing the statement ''Young people nowadays do not give enough time to helping thier communities"" is wrong and right.","I think the statement ''Young people nowadays do not give enough time to helping their communities"" is wrong and right. ","I think the **statement** ""Young people nowadays do not give enough time to helping their communities"" is wrong and right.",medium
Then,"['Subsequently', 'Afterwards', 'Later', 'Thereafter']",adverb,"Then, you can read the book from first page to the end and learn the details and facts.","Then, you can read the book from the first page to the end and learn the details and facts. ","**Then**, you can read the book from the first page to the end and learn the details and facts.",medium
used,"['employed', 'utilized', 'applied', 'harnessed']",verb,This technology has been used in making advertisments.,This technology has been used in making advertisements. ,This technology has been **used** in making advertisements.,medium
enjoy,"['relish', 'delight in', 'savor', 'appreciate', 'revel in']",adverb,Some people believe that young people can enjoy life more than older poeple do.,Some people believe that young people can enjoy life more than older people do. ,Some people believe that young people can **enjoy** life more than older people do.,medium
basis,"['foundation', 'cornerstone', 'groundwork']",verb,Some are not important for any parts in our life; some are the base of the complex topics and some are significant topics which will come up in your life.,Some are not important for any parts of our life; some are the basis of complex topics and some are significant topics which will come up in your life. ,Some are not important for any parts of our life; some are the **basis** of complex topics and some are significant topics which will come up in your life.,medium
olden,"['ancient', 'former', 'past']",adverb,"my own experience, my uncle's  old grand father used to serve their old parents in their home in olden days.","my own experience, my uncle's old grandfather used to serve his old parents in their home in the olden days. ","My own experience, my uncle's old grandfather used to serve his old parents in their home in the **olden** days.",medium
computers,"['PCs', 'laptops', 'servers']",adjective,"As a result, they were failed on both computers and LCD monitors.","As a result, they failed on both computers and LCD monitors. ","As a result, they failed on both **computers** and LCD monitors.",medium
interest,"['passion', 'enthusiasm', 'fascination', 'motivation']",noun,"Besides, the further reason why I advocate this is because that it is widely acknowledged that interesting is an indispensable part to the students' studing and this issue is becoming a certain concern to many experts.","Besides, the further reason why I advocate this is because it is widely acknowledged that interest is an indispensable part of students' studies and this issue is becoming a certain concern to many experts. ","Besides, the further reason why I advocate this is because it is widely acknowledged that **interest** is an indispensable part of students' studies and this issue is becoming a certain concern to many experts.",medium
art,"['craft', 'creativity', 'expression']",noun,"It's an efficient way to devellop art,  to improve the artistic production.","It's an efficient way to develop art, to improve the artistic production. ","It's an efficient way to develop **art**, to improve the artistic production.",medium
has,"['bear', 'exhibit', 'display']",verb,Also another thing that has a signs car will go away,Also another thing that has a sign that it will go away,Also another thing that **has** a sign that it will go away.,medium
topic,"['subject', 'matter', 'theme', 'issue']",noun,"If you study something and don't do practice on the same topic or you have no notice about facts, you can't undertand in the right way this topic.","If you study something and don't do practice on the same topic or you have no notice about facts, you can't understand this topic in the right way. ","If you study something and don't do practice on the same **topic** or you have no notice about facts, you can't understand this topic in the right way.",medium
alone,"['autonomously', 'individually', 'solo', 'single-handedly']",adverb,you are travelling alone    and  suddenly  you feel sick  because of the food of the place or climate of the place has not suited you.,you are travelling alone and suddenly you feel sick because the food of the place or the climate of the place has not suited you. ,You are travelling **alone** and suddenly you feel sick because the food of the place or the climate of the place has not suited you.,medium
drug,"['medication', 'pill', 'remedy', 'substance']",noun,"As for the drug for diet, it really did not lost my weight.","As for the drug for diet, it really did not lose my weight. ","As for the **drug** for diet, it really did not lose my weight.",medium
rather,"['instead', 'alternatively.']",adverb,"Succesful people try new things and take risks rather than only doing what they already know how to well because of; earning money and reputation, peoples attention and being imaginative.","Successful people try new things and take risks rather than only doing what they already know how to do well because of; earning money and reputation, people's attention and being imaginative. ","Successful people try new things and take risks **rather** than only doing what they already know how to do well because of; earning money and reputation, people's attention and being imaginative.",medium
confidence,"['assurance', 'certainty', 'conviction', 'courage']",noun,Trying new thing give them confidence that will motivate them to do something different each time.,Trying new things gives them confidence that will motivate them to do something different each time. ,Trying new things gives them **confidence** that will motivate them to do something different each time.,medium
real,"['genuine', 'authentic', 'legitimate']",adjective,"This has been a real status symbol thanks to the great meanings it had. ""","This has been a real status symbol thanks to the great meanings it has. """,This has been a **real** status symbol thanks to the great meanings it has.,medium
economy,"['market', 'system', 'business', 'finance', 'trade']",adjective,"Then, economy doesn't work.","Then, the economy doesn't work. ","Then, the **economy** doesn't work.",medium
great,"['significant', 'tremendous', 'substantial', 'considerable']",adverb,"The reasons which contribute with this huge cars incline are many, such as the great advance develobment in the technology, and the remarkable extinst of the population who lived on the earth at the same world.","The reasons which contribute to this huge car industry are many, such as the great advances in technology, and the remarkable increase in the population who lived on the earth in the same world. ","The reasons which contribute to this huge car industry are many, such as the **great** advances in technology, and the remarkable increase in the population who lived on the earth in the same world.",medium
different,"['diverse', 'various', 'multiple', 'distinct']",adverb,A person who is very successful must experience more in different ways and learn how to survive in different environment and not afraid of risks.,A person who is very successful must experience more in different ways and learn how to survive in different environments and not be afraid of risks. ,A person who is very successful must experience more in **different** ways and learn how to survive in different environments and not be afraid of risks.,medium
refrigerator,"['fridge', 'appliance', 'cooler', 'freezer']",noun,"There are no problem to preserve the food or to freeze the ice, but after she watched repeatedly the advertisement which explains the new and good funciton of the refrigerator during the TV drama, she considers whether to change the refrigerator to new model or not.","There is no problem with preserving the food or freezing the ice, but after she watches the advertisement which explains the new and good function of the refrigerator in the TV drama, she considers whether to change the refrigerator to a new model or not. ","There is no problem with preserving the food or freezing the ice, but after she watches the advertisement which explains the new and good function of the **refrigerator** in the TV drama, she considers whether to change the refrigerator to a new model or not.",medium
leading,"['guiding', 'steering', 'directing']",adverb,His positive attitude towards life and his practice makes him successful leading him to to his web one day.,His positive attitude towards life and his practice make him successful leading him to his web one day. ,His positive attitude towards life and his practice make him successful **leading** him to his web one day.,medium
freely,"['unreservedly', 'liberally', 'openly', 'independently']",adverb,The second advantage is that you can also chose the place most satisfy your personal taste freely.,The second advantage is that you can also choose the place most satisfying your personal taste freely. ,The second advantage is that you can also choose the place most satisfying your personal taste **freely**.,medium
reason,"['cause', 'motive', 'justification', 'rationale']",noun,The basic reason why people keep collects new cars is it gives sufficient feeling to have the full feeling.,The basic reason why people keep collecting new cars is it gives a sufficient feeling to have the full feeling. ,The basic **reason** why people keep collecting new cars is it gives a sufficient feeling to have the full feeling.,medium
determination,"['resolve', 'perseverance', 'tenacity', 'insistence']",adjective,"The only thing, which help him to achieve this success is his determination and ready to take any challenge.","The only thing, which helped him to achieve this success was his determination and readiness to take on any challenge. ","The only thing, which helped him to achieve this success was his **determination** and readiness to take on any challenge.",medium
new,"['different', 'fresh', 'novel', 'original']",adjective,"Second, trying new things allows us to get new professionallity and new friends.","Second, trying new things allows us to get new professions and new friends. ","Second, trying new things allows us to get **new** professions and new friends.",medium
concepts,"['principles', 'theories', 'notions', 'assumptions']",noun,"Thirdly, the person who interested with ideas and concepts has the ability of thinking more than the person who just keep some idea in his memory because the first one dosn't know what is the end","Thirdly, the person who is interested in ideas and concepts has the ability to think more than the person who just keeps some idea in his memory because the first one doesn't know what is the end","Thirdly, the person who is interested in ideas and **concepts** has the ability to think more than the person who just keeps some idea in his memory because the first one doesn't know what is the end.",medium
ideal,"['perfect', 'optimum', 'ultimate']",adjective,"For example, in the car show, people would like to preform their ideal concept cars to give new insights to companies and customers the trend of the society flow.","For example, at the car show, people would like to present their ideal concept cars to give new insights to companies and customers about the trend of society. ","For example, at the car show, people would like to present their **ideal** concept cars to give new insights to companies and customers about the trend of society.",medium
adventure,"['expedition', 'quest', 'journey', 'venture']",noun,"But I got victories from them by doing constant adventure, today they are repected from people.","But I got victories from them by doing constant adventure, today they are respected by people. ","But I got victories from them by doing constant **adventure**, today they are respected by people.",medium
impossible,"['unmanageable', 'impracticable', 'unfeasible']",adverb,younger people has the stamina and consistency to do the their work which cannot possible for the older people.,younger people have the stamina and consistency to do their work which is impossible for older people. ,younger people have the stamina and consistency to do their work which is **impossible** for older people.,medium
important,"['crucial', 'critical', 'vital']",adjective,"Finally, the most important thing while you're in vacation or when you travelling is to be able to rest when you want to.","Finally, the most important thing while you're on vacation or when you travel is to be able to rest when you want to. ","Finally, the most **important** thing while you're on vacation or when you travel is to be able to rest when you want to.",medium
safety,"['security', 'protection', 'defense', 'preservation']",noun,The last one is abouth the safety because when we visit a new place we dosen't know about the crime rate.,The last one is about safety because when we visit a new place we don't know about the crime rate. ,The last one is about **safety** because when we visit a new place we don't know about the crime rate.,medium
transportation,"['conveyance', 'mobility', 'transit', 'commute']",noun,"By the way, if electicity resource for individual tranportation is used in daily life, that means people can not afford to pay oil price and car battery would be used.","By the way, if electricity resources for individual transportation are used in daily life, that means people can not afford to pay the oil price and the car battery will be used. ","By the way, if electricity resources for individual **transportation** are used in daily life, that means people can not afford to pay the oil price and the car battery will be used.",medium
example,"['instance', 'illustration', 'case']",adverb,"Calcium, for example, is often being misunderstood by customer.","Calcium, for example, is often being misunderstood by customers. ","Calcium, for **example**, is often being misunderstood by customers.",medium
facts,"['truths', 'realities', 'details', 'data']",noun,Then what facts can be revealed about it without any phenomina stating its existence.,Then what facts can be revealed about it without any phenomena stating its existence. ,Then what **facts** can be revealed about it without any phenomena stating its existence.,medium
different,"['various', 'diverse', 'multiple']",adjective,While the person with many knowledged acadmic subjects xan access many different jobs and aplication and will have experience than than the person with one specfice subject.,While the person with many known academic subjects xan access many different jobs and aplication and will have experience more than the person with one specific subject. ,While the person with many known academic subjects can access many **different** jobs and application and will have experience more than the person with one specific subject.,medium
ideas,"['concepts', 'thoughts', 'principles']",noun,"They can remember the ideas easily and also last longer, able to get interested in subjects, and increase their self confidenses.","They can remember ideas easily and also last longer, able to get interested in subjects, and increase their self confidence. ","They can remember **ideas** easily and also last longer, able to get interested in subjects, and increase their self confidence.",medium
enjoying,"['relishing', 'appreciating', 'delighting']",verb,In the third reason I want to discuss about how the young people are enjoying in the night.,In the third reason I want to discuss how young people are enjoying themselves in the night. ,In the third reason I want to discuss how young people are **enjoying** themselves in the night.,medium
difficult,"['challenging', 'hard', 'tough', 'arduous']",adverb,he faces the actual realty of how difficult it is to climb,he faces the reality of how difficult it is to climb,he faces the reality of how **difficult** it is to climb.,medium
more,"['further', 'additionally']",adverb,"As a result, to travel with a leader makes the trip more organized and more rememberable.","As a result, travelling with a leader makes the trip more organized and more memorable. ","As a result, travelling with a leader makes the trip **more** organized and more memorable.",medium
lost,"['misplaced', 'strayed', 'disoriented', 'confused']",verb,But the guys that go on the forest do not has the good maps and they are lost so they have to work in team.,But the guys that go to the forest do not have good maps and they are lost so they have to work in a team. ,But the guys that go to the forest do not have good maps and they are **lost** so they have to work in a team.,medium
abundant,"['plentiful', 'ample']",adverb,The work required from school is so abondant that it makes more difficult for students to bring their help for their communities.,The work required from school is so abundant that it makes it more difficult for students to bring their help for their communities. ,The work required from school is so **abundant** that it makes it more difficult for students to bring their help for their communities.,medium
just,"['merely', 'simply', 'only', 'solely', 'purely.']",adverb,"Compared to taking specialized in one specific subject, people  don't have opportunity to think of their potential ability and just go for their jobs that are just suitable for them.","Compared to taking specialized in one specific subject, people don't have the opportunity to think of their potential ability and just go for their jobs that are just suitable for them. ","Compared to taking specialized in one specific subject, people don't have the opportunity to **think** of their potential ability and just go for their jobs that are just suitable for them.",medium
young,"['little', 'small', 'adolescent']",adjective,A young boy might be happy with watching tv,A young boy might be happy watching TV.,A **young** boy might be happy watching TV.,medium
airways,"['airlines', 'air routes', 'flight paths.']",noun,"Because the airways provide us to transport more quickly than cars from one city to another city, also, from one continent to another continent.","Because the airways provide us with the ability to transport more quickly than cars from one city to another city, also, from one continent to another continent. ","Because the **airways** provide us with the ability to transport more quickly than cars from one city to another city, also, from one continent to another continent.",medium
easily,"['readily', 'effortlessly', 'straightforwardly', 'conveniently']",adverb,If an 90 yr old woman can do such amazing things for a society then an 20 year easily should contribute thrice what she contributed to the society.,If a 90-year - old woman can do such amazing things for a society then a 20-year - old can easily contribute twice what she contributed tosociety. ,If a 90-year - old woman can do such amazing things for a society then a 20-year - old can **easily** contribute twice what she contributed to society.,medium
main,"['primary', 'principal', 'chief', 'fundamental']",adjective,Due to the people around me I am able to summarize theit bahaviour's main reasons which are their lack of education and the conditions of the era they are growing.,Due to the people around me I am able to summarize their behaviour 's main reasons which are their lack of education and the conditions of the era they are growing in. ,Due to the people around me I am able to summarize their **behaviour**'s main reasons which are their lack of education and the conditions of the era they are growing in.,medium
transport,"['transportation', 'conveyance', 'transit', 'vehicle']",noun,"Some examples of non polluting transports are becoming popular in many parts of the world, like bycicles.","Some examples of non-polluting transport are becoming popular in many parts of the world, like bicycles. ","Some examples of non-polluting **transport** are becoming popular in many parts of the world, like bicycles.",medium
available,"['accessible', 'obtainable', 'reachable']",verb,"Initially in India, i.e. after independence the car available in India was Ambassador of Fiat","Initially in India, i. e. after independence the car available in India was the Ambassador of Fiat","Initially in India, i. e. after independence the car **available** in India was the Ambassador of Fiat.",medium
improvement,"['enhancement', 'advancement', 'progress', 'development']",adjective,Another solution could be found in some improvement of science to eliminate the pollution provoked by cars.,Another solution could be found in some improvement in science to eliminate the pollution caused by cars. ,Another solution could be found in some **improvement** in science to eliminate the pollution caused by cars.,medium
however,"['nonetheless', 'nevertheless', 'yet', 'still']",adverb,"At the first place I visit, however, I was so impressed by the beautiful scene of a river and castle that I changed my plan and stayed there for one week.","At the first place I visited, however, I was so impressed by the beautiful scenery of a river and castle that I changed my plan and stayed there for one week. ","At the first place I visited, **however**, I was so impressed by the beautiful scenery of a river and castle that I changed my plan and stayed there for one week.",medium
money,"['funds', 'capital', 'currency', 'finances']",noun,"For example, if fully to take money with communities out resouces, the economics of the comunities is not surplus.","For example, if we fully take money out of communities' resources, the economics of the communities is not surplus. ","For example, if we fully take **money** out of communities' resources, the economics of the communities is not surplus.",medium
teacher,"['instructor', 'tutor', 'educator', 'mentor.']",noun,If teacher explains the topic very clearly and comprehensive with specific ideas the student will understand.,If the teacher explains the topic very clearly and comprehensively with specific ideas the student will understand. ,If the **teacher** explains the topic very clearly and comprehensively with specific ideas the student will understand.,medium
bother,"['irritate', 'annoy', 'pester', 'disturb', 'hassle']",verb,", they bother you all time, and also time is not going to be enough cause traveling with everbody is really slow.",", they bother you all the time, and also time is not going to be enough because traveling with everybody is really slow. ",", they **bother** you all the time, and also time is not going to be enough because traveling with everybody is really slow.",medium
advertisements,"['notices', 'promotions', 'adverts']",noun,"They even spend their cost for advertising tremendously, and in these days, many of companies consider how to make the best advertisements or commercial messege and hire some specialists for that.","They even spend their costs on advertising tremendously, and these days, many companies consider how to make the best advertisements or commercial messages and hire some specialists for that. ","They even spend their costs on advertising tremendously, and these days, many companies consider how to make the best **advertisements** or commercial messages and hire some specialists for that.",medium
independence,"['individuality', 'self-reliance', 'autonomy', 'freedom']",adjective,"she can develop the independency , self-esteem and maturity.","she can develop independence, self-esteem and maturity. ","She can develop **independence**, self-esteem and maturity.",medium
Also,"['Additionally', 'Moreover', 'Furthermore']",adverb,"Also, people will not pay the tax of cars in the future because of higher tax of cars.","Also, people will not pay the tax on cars in the future because of higher taxes on cars. ","**Also**, people will not pay the tax on cars in the future because of higher taxes on cars.",medium
justify,"['validate', 'substantiate', 'authenticate']",adverb,The statistics and the projects of governments justifies my beliefs.,The statistics and the projects of governments justify my beliefs. ,The statistics and the projects of governments **justify** my beliefs.,medium
affects,"['influences', 'impacts', 'alters', 'shapes']",verb,as a conclusion advertisement affects all the selling of the product and we know that not all the products are good and on to that if we still trying these products it's all because of these advertisements.,as a conclusion advertisement affects all the selling of the product and we know that not all the products are good and on to that if we still try these products it's all because of these advertisements. ,as a conclusion advertisement **affects** all the selling of the product and we know that not all the products are good and on to that if we still try these products it's all because of these advertisements.,medium
studied,"['learned', 'researched', 'examined', 'investigated']",noun,Most young people have studying as an excuse for not helping in the community.,Most young people have studied as an excuse for not helping in the community. ,Most young people have **studied** as an excuse for not helping in the community.,medium
easier,"['simpler', 'straightforward', 'uncomplicated']",adverb,"In conclusion we can not do a garduatory about what gives us more enjoyment but, in a easier way of thinking, I want to say that every age has its own enjoyment, the problem is only how to catch it.","In conclusion we can not do a catalogue of what gives us more enjoyment but, in an easier way of thinking, I want to say that every age has its own enjoyment, the problem is only how to catch it. ","In conclusion we can not do a catalogue of what gives us more **enjoyment** but, in an easier way of thinking, I want to say that every age has its own enjoyment, the problem is only how to catch it.",medium
concept,"['notion', 'principle', 'theory', 'idea']",noun,The students understand the concept of digestion and they can have the idea of eat healthy.,The students understand the concept of digestion and they can have the idea of eating healthily. ,The students understand the **concept** of digestion and they can have the idea of eating healthily.,medium
only,"['exclusively', 'solely', 'uniquely']",adverb,a person cannot sit on the poolside and measure the depth of the pool he can do this  only  if he jump and see the depth of the pool.,a person cannot sit on the poolside and measure the depth of the pool he can do this only if he jumps and sees the depth of the pool. ,A person cannot sit on the poolside and measure the depth of the pool. He can do this **only** if he jumps and sees the depth of the pool.,medium
try,"['attempt', 'venture', 'experiment with', 'strive']",verb,"it is hard getting success following the same steps others did long ago, beacuse of all the competition, maybe it would be easier thinking of a not so compited subject, so maybe here it is when you will have to try new things, explore new markets etc..","it is hard to achieve success following the same steps others did long ago, because of all the competition, maybe it would be easier to think of a not so complicated subject, so maybe here it is when you will have to try new things, explore new markets etc. . ","it is hard to achieve success following the same steps others did long ago, because of all the competition, maybe it would be easier to think of a not so complicated subject, so maybe here it is when you will have to **try** new things, explore new markets etc. .",medium
manufacturing,"['producing', 'creating', 'fabricating', 'constructing']",verb,the manufacture is manifucaturing a good product or not.,the manufacture is manufacturing a good product or not. ,the manufacture is **manufacturing** a good product or not.,medium
design,"['structure', 'pattern', 'blueprint']",noun,He just want to know more about the design of plate heat exchangers.,He just wants to know more about the design of plate heat exchangers. ,He just wants to know more about the **design** of plate heat exchangers.,medium
contrast,"['differentiate', 'distinguish', 'separate']",adverb,"if the concepts contrast to part of watermelon, concept is the red part of watermelon.","if the concepts contrast to part of watermelon, the concept is the red part of watermelon. ","if the concepts **contrast** to part of watermelon, the concept is the red part of watermelon.",medium
catchy,"['unforgettable', 'memorable', 'captivating']",adjective,"So, we just remeber the name of the firm and sometimes the catchy melody that accompanied the add.","So, we just remember the name of the firm and sometimes the catchy melody that accompanied the ad. ","So, we just remember the name of the firm and sometimes the **catchy** melody that accompanied the ad.",medium
old,"['traditional', 'conventional', 'customary', 'classic']",adverb,You did a wonderful job in kicking the football in old way.,You did a wonderful job of kicking the football in the old way. ,You did a wonderful job of kicking the football in the **old** way.,medium
different,"['varied', 'diverse', 'distinct', 'unrelated']",adjective,"For instance,  cooking, chemistry and biology seem all different subjects which doesn't have relationship with each other.","For instance, cooking, chemistry and biology seem all different subjects which don't have a relationship with each other. ","For instance, cooking, chemistry and biology seem all **different** subjects which don't have a relationship with each other.",medium
wants,"['desires', 'wishes', 'seeks', 'aspires']",verb,"He always want to make something, so their parnents expect him to make a lot of ideas.","He always wants to do something, so his parents expect him to come up with a lot of ideas. ","He always **wants** to do something, so his parents expect him to come up with a lot of ideas.",medium
long,"['extended', 'sustained', 'lengthy', 'enduring']",adjective,"In the long run, Understanding ideas and concepts are more important than learning facts becasue understanding main concept let students to adapt constant understanding about new facts in the long period time, and because students can approach to the factors more intuitively and effectively.","In the long run, Understanding ideas and concepts are more important than learning facts because understanding the main concept lets students adapt to constant understanding of new facts over a long period of time, and because students can approach the factors more intuitively and effectively. ","In the long run, Understanding ideas and concepts are more important than learning facts because understanding the main concept lets students adapt to constant understanding of new facts over a **long** period of time, and because students can approach the factors more intuitively and effectively.",medium
type,"['kind', 'form', 'category', 'style']",adjective,I agree on that type of system because my educatinal background depends on variety of different subjects.,I agree with that type of system because my educational background depends on a variety of different subjects. ,I agree with that **type** of system because my educational background depends on a variety of different subjects.,medium
risking,"['gambling', 'jeopardizing', 'endangering']",adverb,"I'm trying to study a masters in law in a New York City  University, so I'm risking  not only to deal with another language but also studying a new legal system.","I'm trying to study a masters in law at a New York City University, so I'm risking not only dealing with another language but also studying a new legal system. ","I'm trying to study a masters in law at a New York City University, so I'm **risking** not only dealing with another language but also studying a new legal system.",medium
fun,"['enjoyable', 'amusing', 'entertaining', 'delightful', 'pleasurable']",adjective,"It was fun to learn from those funny guides and walking around with them, but most fun part of the trip was a free time.","It was fun to learn from those funny guides and walking around with them, but the most fun part of the trip was free time. ","It was **fun** to learn from those funny guides and walking around with them, but the most fun part of the trip was free time.",medium
make,"['create', 'establish', 'produce', 'generate']",verb,"Am not saying that the advertisements are wrong, its there wish to make or not, my opinion is to maintian the standards in there products, as many people trust them by going through the ad.","I am not saying that the advertisements are wrong, they are there wish to make or not, my opinion is to maintain the standards in their products, as many people trust them by going through the ad. ","I am not saying that the advertisements are wrong, they are there wish to **make** or not, my opinion is to maintain the standards in their products, as many people trust them by going through the ad.",medium
generally,"['ordinarily', 'typically', 'commonly', 'usually']",adjective,"But there are a lot of clauses, generally writed small and in the end of the contract, that explain what you have to do to give their money back.","But there are a lot of clauses, generally written small and at the end of the contract, that explain what you have to do to get their money back. ","But there are a lot of clauses, **generally** written small and at the end of the contract, that explain what you have to do to get their money back.",medium
hometown,"['birthplace', 'native city', 'home city']",adjective,"Fow example, when I was in my hometown I sometimes went to a kind of meeting  of elder people with my grandmather.","For example, when I was in my hometown I sometimes went to a kind of meeting of elderly people with my grandmother. ","For example, when I was in my **hometown** I sometimes went to a kind of meeting of elderly people with my grandmother.",medium
